pool,func,minargs,maxargs,type,address,definition
GSC-Function-4f437c0,getentitiesinradius,2,3,0,BlackOps4.exe+32E1420,
GSC-Function-4f437c0,getentities,0,0,0,BlackOps4.exe+32E39E0,
GSC-Function-4f437c0,getfirsttouchfraction,4,4,0,BlackOps4.exe+32E5AF0,
GSC-Function-4f437c0,recordmatchsummaryzombieendgamedata,0,4,0,BlackOps4.exe+3307C10,
GSC-Function-4f437c0,matchrecorderincrementheaderstat,0,2,0,BlackOps4.exe+3307ED0,
GSC-Function-4f437c0,recordzombieroundstart,0,0,0,BlackOps4.exe+3307D90,
GSC-Function-4f437c0,recordzombieroundend,0,0,0,BlackOps4.exe+3307E70,
GSC-Function-4f437c0,clearplayercorpses,0,0,0,BlackOps4.exe+3345380,
GSC-Function-4f437c0,function_7d6839ae,4,5,0,BlackOps4.exe+3343780,
GSC-Function-4f437c0,function_2d3f8777,3,4,0,BlackOps4.exe+33437F0,
GSC-Function-4f437c0,function_2fa975e0,5,6,0,BlackOps4.exe+3343B80,
GSC-Function-4f437c0,function_76f27db3,4,5,0,BlackOps4.exe+3343BF0,
GSC-Function-4f437c0,function_909b6ab,2,2,0,BlackOps4.exe+3343C00,
GSC-Function-4f437c0,getteamplatoon,1,1,0,BlackOps4.exe+3343C30,
GSC-Function-4f437c0,function_b37afded,2,2,0,BlackOps4.exe+3343C60,
GSC-Function-4f437c0,function_37d3bfcb,1,1,0,BlackOps4.exe+3343FB0,
GSC-Function-4f437c0,recordplayerstats,3,3,0,BlackOps4.exe+32D5DD0,
GSC-Function-4f437c0,recordplayermatchend,1,1,0,BlackOps4.exe+32D61F0,
GSC-Function-4f437c0,function_2c666d56,3,3,0,BlackOps4.exe+32D6450,
GSC-Function-4f437c0,recordmatchbegin,0,0,0,BlackOps4.exe+32D69B0,
GSC-Function-4f437c0,recordbreadcrumbdataforplayer,1,1,0,BlackOps4.exe+32D69C0,
GSC-Function-4f437c0,matchrecordnewplayer,1,1,0,BlackOps4.exe+32DE030,
GSC-Function-4f437c0,function_ad11630f,12,12,0,BlackOps4.exe+32D6B00,
GSC-Function-4f437c0,matchrecordlogadditionaldeathinfo,5,5,0,BlackOps4.exe+32D73F0,
GSC-Function-4f437c0,matchrecordlogspecialmovedataforlife,9,e,0,BlackOps4.exe+32DD4E0,
GSC-Function-4f437c0,matchrecordlogchallengecomplete,5,5,0,BlackOps4.exe+32DDC70,
GSC-Function-4f437c0,matchrecordsetcurrentlevelcomplete,0,0,0,BlackOps4.exe+32D5930,
GSC-Function-4f437c0,matchrecordsetleveldifficultyforindex,2,2,0,BlackOps4.exe+32D5980,
GSC-Function-4f437c0,matchrecordgetweaponindex,1,1,0,BlackOps4.exe+32D5940,
GSC-Function-4f437c0,function_f4f6d8a1,0,0,0,BlackOps4.exe+330DF70,
GSC-Function-4f437c0,setvotestring,1,1,0,BlackOps4.exe+3365E40,
GSC-Function-4f437c0,setvotetime,1,1,0,BlackOps4.exe+3367FC0,
GSC-Function-4f437c0,setvoteyescount,1,1,0,BlackOps4.exe+3368030,
GSC-Function-4f437c0,setvotenocount,1,1,0,BlackOps4.exe+3368080,
GSC-Function-4f437c0,arenagetslot,0,0,0,BlackOps4.exe+32D3410,
GSC-Function-4f437c0,arenagetcurrentseason,0,0,0,BlackOps4.exe+32D3460,
GSC-Function-4f437c0,function_654d64ea,0,0,0,BlackOps4.exe+3392440,
GSC-Function-4f437c0,function_a357a2b8,1,1,0,BlackOps4.exe+3390DD0,
GSC-Function-4f437c0,function_e938380b,0,0,0,BlackOps4.exe+33923C0,
GSC-Function-4f437c0,function_945560bf,0,0,0,BlackOps4.exe+32D5510,
GSC-Function-4f437c0,function_c285fbd9,0,0,0,BlackOps4.exe+32D5530,
GSC-Function-4f437c0,function_377f07c2,0,0,0,BlackOps4.exe+32D5550,
GSC-Function-4f437c0,function_7a0dc792,0,0,0,BlackOps4.exe+32D55C0,
GSC-Function-4f437c0,reportmtu,1,1,0,BlackOps4.exe+336A1B0,nulled
GSC-Function-4f437c0,kick(int player;string reason=undefined),1,2,0,BlackOps4.exe+336A1C0,Kick a player with or without a reason; cbuff('tempBanClien $player') or cbuff('clientkick_for_reason $player $reason'
GSC-Function-4f437c0,ban(int player;string reason='EXE/PLAYERKICKED_BAN'),1,2,0,BlackOps4.exe+336A230,Ban a player; cbuff('banClient $player $reason')
GSC-Function-4f437c0,map(string name),1,1,0,BlackOps4.exe+3356C50,Change the map; cbuff('map $name')
GSC-Function-4f437c0,playrumbleonposition,2,2,0,BlackOps4.exe+3370630,
GSC-Function-4f437c0,playrumblelooponposition,2,2,0,BlackOps4.exe+3370640,
GSC-Function-4f437c0,stopallrumbles,0,0,0,BlackOps4.exe+3370650,
GSC-Function-4f437c0,soundexists,1,1,0,BlackOps4.exe+32E5F60,
GSC-Function-4f437c0,soundgetplaybacktime,1,1,0,BlackOps4.exe+32E6040,
GSC-Function-4f437c0,soundgetalias,1,1,0,BlackOps4.exe+32E6080,
GSC-Function-4f437c0,issplitscreen,0,0,0,BlackOps4.exe+33706A0,
GSC-Function-4f437c0,islocalgame()->bool,0,0,0,BlackOps4.exe+33727E0,Return if the game is local
GSC-Function-4f437c0,isglobalstatsserver()->bool,0,0,0,BlackOps4.exe+3372800,Return 0
GSC-Function-4f437c0,setminimap,5,5,0,BlackOps4.exe+3306FB0,
GSC-Function-4f437c0,setminimapzone,4,4,0,BlackOps4.exe+33071E0,
GSC-Function-4f437c0,function_fd82b127,0,0,0,BlackOps4.exe+3306DD0,
GSC-Function-4f437c0,setmapcenter,1,1,0,BlackOps4.exe+33063C0,
GSC-Function-4f437c0,setdemointermissionpoint,2,2,0,BlackOps4.exe+3306460,
GSC-Function-4f437c0,setgameendtime,1,1,0,BlackOps4.exe+3306850,
GSC-Function-4f437c0,setslowmotion,1,3,0,BlackOps4.exe+33068B0,
GSC-Function-4f437c0,setpauseworld,1,1,0,BlackOps4.exe+3306B90,
GSC-Function-4f437c0,isworldpaused,0,0,0,BlackOps4.exe+3306CC0,
GSC-Function-4f437c0,numremoteclients,0,0,0,BlackOps4.exe+3306CE0,
GSC-Function-4f437c0,visionsetnaked,1,2,0,BlackOps4.exe+33494D0,
GSC-Function-4f437c0,visionsetlaststand,1,2,0,BlackOps4.exe+334BAB0,
GSC-Function-4f437c0,setgravity,1,1,0,BlackOps4.exe+32D8650,
GSC-Function-4f437c0,setwavewatergeneratoramplitude,2,2,0,BlackOps4.exe+32D8680,
GSC-Function-4f437c0,getlobbyclientcount()->int,0,0,0,BlackOps4.exe+3307F30,client count + join count
GSC-Function-4f437c0,enablelobbyjoins(bool v),1,1,0,BlackOps4.exe+3307FD0,
GSC-Function-4f437c0,clientsysregister,1,1,0,BlackOps4.exe+330F4B0,
GSC-Function-4f437c0,clientsyssetstate,2,2,0,BlackOps4.exe+330F800,
GSC-Function-4f437c0,getsnapshotindexarray,0,0,0,BlackOps4.exe+330FBC0,
GSC-Function-4f437c0,snapshotacknowledged,1,1,0,BlackOps4.exe+330FCE0,
GSC-Function-4f437c0,getaitriggerflags,0,0,0,BlackOps4.exe+3312A50,
GSC-Function-4f437c0,getmaxvehicles()->int,0,0,0,BlackOps4.exe+3312AE0,return 108
GSC-Function-4f437c0,disabledestructiblepieces,1,1,0,BlackOps4.exe+3312AF0,
GSC-Function-4f437c0,enablealldestructiblepieces,0,0,0,BlackOps4.exe+3312B60,
GSC-Function-4f437c0,createdynentandlaunch(string ent;vector pos;vector angles;vector hitpos;vector force;hash fx=undefined),5,6,0,BlackOps4.exe+3345580,
GSC-Function-4f437c0,getvehicletriggerflags,0,0,0,BlackOps4.exe+3312AD0,
